name;date;tempc;humidpc
xm-09;2024-02-20T10:00:00.000-03:00;21,55;92
xm-09;2024-02-20T11:00:00.000-03:00;22,35;92
xm-09;2024-02-20T12:00:00.000-03:00;21,65;93
xm-09;2024-02-20T13:00:00.000-03:00;20,9;97
xm-09;2024-02-20T14:00:00.000-03:00;21,85;95
xm-09;2024-02-20T15:00:00.000-03:00;22,35;93
xm-09;2024-02-20T16:00:00.000-03:00;22,5;92
xm-09;2024-02-20T17:00:00.000-03:00;22,25;93
xm-09;2024-02-20T18:00:00.000-03:00;21,35;95
xm-09;2024-02-20T19:00:00.000-03:00;20,75;96
xm-09;2024-02-20T20:00:00.000-03:00;20,55;97
xm-09;2024-02-20T21:00:00.000-03:00;20,45;97
xm-09;2024-02-20T22:00:00.000-03:00;20,3;97
xm-09;2024-02-20T23:00:00.000-03:00;20,1;97
xm-09;2024-02-21T00:00:00.000-03:00;19,85;98
xm-09;2024-02-21T01:00:00.000-03:00;19,8;98
xm-09;2024-02-21T02:00:00.000-03:00;19,95;97
xm-09;2024-02-21T03:00:00.000-03:00;20,05;97
xm-09;2024-02-21T04:00:00.000-03:00;20;97
xm-09;2024-02-21T05:00:00.000-03:00;19,9;98
xm-09;2024-02-21T06:00:00.000-03:00;19,95;97
xm-09;2024-02-21T07:00:00.000-03:00;20,05;98
xm-09;2024-02-21T08:00:00.000-03:00;20,35;97
xm-09;2024-02-21T09:00:00.000-03:00;20,7;96
xm-09;2024-02-21T10:00:00.000-03:00;20,95;97
xm-09;2024-02-21T11:00:00.000-03:00;21,7;95
xm-09;2024-02-21T12:00:00.000-03:00;23;89
xm-09;2024-02-21T13:00:00.000-03:00;24,25;84
xm-09;2024-02-21T14:00:00.000-03:00;24,8;82
xm-09;2024-02-21T15:00:00.000-03:00;26,55;76
xm-09;2024-02-21T16:00:00.000-03:00;28,5;70
xm-09;2024-02-21T17:00:00.000-03:00;27,55;70
xm-09;2024-02-21T18:00:00.000-03:00;25,35;76
xm-09;2024-02-21T19:00:00.000-03:00;23,85;81
xm-09;2024-02-21T20:00:00.000-03:00;22,6;86
xm-09;2024-02-21T21:00:00.000-03:00;22,05;88
xm-09;2024-02-21T22:00:00.000-03:00;21,55;89
xm-09;2024-02-21T23:00:00.000-03:00;21,25;91
