Institution;year;sp
Museu Botânico Municipal;2002;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1995;Caryocar brasiliense
NA;1984;Caryocar brasiliense
Universidade Federal de Goiás;1988;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2018;Caryocar brasiliense
NA;1963;Caryocar brasiliense
NA;2020;Caryocar brasiliense
NA;1967;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;2006;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1989;Caryocar brasiliense
Universidade Estadual de Feira de Santana;2002;Caryocar brasiliense
NA;2020;Caryocar brasiliense
NA;2007;Caryocar brasiliense
NA;1981;Caryocar brasiliense
Museu Botânico Municipal;2013;Caryocar brasiliense
Universidade Estadual do Tocantins;2006;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1955;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;2007;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2006;Caryocar brasiliense
NA;2004;Caryocar brasiliense
Universidade Federal de Uberlândia;2002;Caryocar brasiliense
Universidade Estadual de Londrina;2002;Caryocar brasiliense
Universidade Federal de Goiás;1988;Caryocar brasiliense
NA;1985;Caryocar brasiliense
Universidade Federal do Paraná;1996;Caryocar brasiliense
NA;1985;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1918;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2006;Caryocar brasiliense
NA;1993;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1998;Caryocar brasiliense
NA;1963;Caryocar brasiliense
NA;2009;Caryocar brasiliense
NA;2020;Caryocar brasiliense
NA;1993;Caryocar brasiliense
NA;1974;Caryocar brasiliense
Instituto Agronômico de Pernambuco;1974;Caryocar brasiliense
Universidade Federal do Vale do São Francisco;2010;Caryocar brasiliense
NA;2010;Caryocar brasiliense
NA;1978;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2000;Caryocar brasiliense
NA;1996;Caryocar brasiliense
NA;2016;Caryocar brasiliense
NA;1973;Caryocar brasiliense
Universidade Estadual do Maranhão;2017;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1998;Caryocar brasiliense
NA;1974;Caryocar brasiliense
NA;2013;Caryocar brasiliense
Universidade Federal de Minas Gerais;2010;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1993;Caryocar brasiliense
NA;2000;Caryocar brasiliense
Universidade Federal do Vale do São Francisco;2013;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1994;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2006;Caryocar brasiliense
NA;2006;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1991;Caryocar brasiliense
NA;2022;Caryocar brasiliense
NA;1983;Caryocar brasiliense
Universidade Estadual de Campinas;1987;Caryocar brasiliense
NA;2021;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1997;Caryocar brasiliense
Instituto Agronômico de Campinas;1960;Caryocar brasiliense
NA;1978;Caryocar brasiliense
Universidade Estadual de Campinas;1981;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1996;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1963;Caryocar brasiliense
NA;2006;Caryocar brasiliense
NA;2023;Caryocar brasiliense
NA;1978;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1990;Caryocar brasiliense
Instituto Agronômico de Campinas;1979;Caryocar brasiliense
Instituto Agronômico do Norte;1951;Caryocar brasiliense
Universidade Federal do Paraná;1996;Caryocar brasiliense
NA;1918;Caryocar brasiliense
NA;2008;Caryocar brasiliense
NA;1948;Caryocar brasiliense
NA;1974;Caryocar brasiliense
NA;2000;Caryocar brasiliense
NA;2021;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1978;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1978;Caryocar brasiliense
NA;2013;Caryocar brasiliense
NA;1996;Caryocar brasiliense
NA;1985;Caryocar brasiliense
Universidade Estadual Paulista;1973;Caryocar brasiliense
NA;1973;Caryocar brasiliense
NA;1985;Caryocar brasiliense
Universidade de São Paulo;1996;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2000;Caryocar brasiliense
NA;1979;Caryocar brasiliense
NA;2021;Caryocar brasiliense
Universidade Estadual Paulista;1997;Caryocar brasiliense
NA;1985;Caryocar brasiliense
NA;1981;Caryocar brasiliense
Universidade de Brasília;2009;Caryocar brasiliense
NA;1996;Caryocar brasiliense
Universidade Estadual Paulista;1986;Caryocar brasiliense
Museu Botânico Municipal;1978;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1985;Caryocar brasiliense
NA;1997;Caryocar brasiliense
NA;2009;Caryocar brasiliense
NA;1979;Caryocar brasiliense
Universidade Federal do Rio Grande do Sul;1961;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1899;Caryocar brasiliense
NA;1967;Caryocar brasiliense
NA;2014;Caryocar brasiliense
NA;2008;Caryocar brasiliense
NA;1955;Caryocar brasiliense
Museu Botânico Municipal;1963;Caryocar brasiliense
NA;2014;Caryocar brasiliense
NA;1980;Caryocar brasiliense
NA;1918;Caryocar brasiliense
NA;1979;Caryocar brasiliense
NA;1845;Caryocar brasiliense
NA;1993;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2000;Caryocar brasiliense
NA;1978;Caryocar brasiliense
NA;2014;Caryocar brasiliense
Museu Paraense Emílio Goeldi;1979;Caryocar brasiliense
NA;2005;Caryocar brasiliense
NA;1988;Caryocar brasiliense
NA;1985;Caryocar brasiliense
NA;1991;Caryocar brasiliense
NA;2014;Caryocar brasiliense
Instituto Agronômico do Norte;1951;Caryocar brasiliense
Universidade Federal do Rio Grande do Sul;1978;Caryocar brasiliense
Universidade Estadual Paulista;2016;Caryocar brasiliense
Universidade de Brasília;1963;Caryocar brasiliense
Universidade Estadual Paulista;2000;Caryocar brasiliense
NA;1979;Caryocar brasiliense
Universidade de Brasília;1985;Caryocar brasiliense
NA;1983;Caryocar brasiliense
Universidade Paulista;2000;Caryocar brasiliense
NA;2020;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2011;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2017;Caryocar brasiliense
NA;2020;Caryocar brasiliense
NA;2021;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1996;Caryocar brasiliense
Universidade Estadual de Campinas;1996;Caryocar brasiliense
NA;2016;Caryocar brasiliense
NA;1899;Caryocar brasiliense
Universidade Federal de Pelotas;1963;Caryocar brasiliense
NA;1993;Caryocar brasiliense
NA;1990;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1996;Caryocar brasiliense
NA;1997;Caryocar brasiliense
NA;1985;Caryocar brasiliense
Instituto Nacional de Pesquisas da Amazônia;1980;Caryocar brasiliense
NA;2017;Caryocar brasiliense
NA;1979;Caryocar brasiliense
Universidade Estadual Paulista;1993;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2009;Caryocar brasiliense
NA;2001;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2004;Caryocar brasiliense
NA;2014;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1994;Caryocar brasiliense
NA;2001;Caryocar brasiliense
Universidade Estadual Paulista;1985;Caryocar brasiliense
Universidade Federal de Goiás;1997;Caryocar brasiliense
NA;2012;Caryocar brasiliense
NA;2010;Caryocar brasiliense
Universidade Federal do Vale do São Francisco;2012;Caryocar brasiliense
NA;2019;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1999;Caryocar brasiliense
NA;2015;Caryocar brasiliense
NA;2012;Caryocar brasiliense
Instituto Agronômico do Norte;1956;Caryocar brasiliense
NA;2017;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2002;Caryocar brasiliense
NA;2010;Caryocar brasiliense
NA;2022;Caryocar brasiliense
NA;2009;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1938;Caryocar brasiliense
Instituto Nacional de Pesquisas da Amazônia;1974;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;2001;Caryocar brasiliense
Instituto Agronômico de Campinas;1938;Caryocar brasiliense
NA;1994;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2005;Caryocar brasiliense
NA;1973;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1947;Caryocar brasiliense
NA;2020;Caryocar brasiliense
NA;2002;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1998;Caryocar brasiliense
NA;2012;Caryocar brasiliense
Museu Paraense Emílio Goeldi;1981;Caryocar brasiliense
NA;2013;Caryocar brasiliense
NA;2020;Caryocar brasiliense
NA;1997;Caryocar brasiliense
NA;2005;Caryocar brasiliense
NA;2014;Caryocar brasiliense
NA;2005;Caryocar brasiliense
NA;1959;Caryocar brasiliense
NA;2019;Caryocar brasiliense
Universidade Federal de Minas Gerais;1988;Caryocar brasiliense
NA;1960;Caryocar brasiliense
Universidade Estadual de Maringá;1989;Caryocar brasiliense
NA;1983;Caryocar brasiliense
Universidade Federal do Paraná;2017;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2001;Caryocar brasiliense
NA;2007;Caryocar brasiliense
NA;1969;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1994;Caryocar brasiliense
NA;1991;Caryocar brasiliense
Universidade de São Paulo;1988;Caryocar brasiliense
Universidade Estadual Paulista;2015;Caryocar brasiliense
Universidade Estadual do Centro-Oeste;1997;Caryocar brasiliense
NA;2020;Caryocar brasiliense
Universidade Federal de Rondônia;2013;Caryocar brasiliense
Comissão Executiva do Plano da Lavoura Cacaueira;1988;Caryocar brasiliense
Embrapa Pantanal;1986;Caryocar brasiliense
Instituto Agronômico de Campinas;1938;Caryocar brasiliense
Universidade Federal de Juiz de Fora;1969;Caryocar brasiliense
Instituto Nacional da Mata Atlântica;2009;Caryocar brasiliense
Instituto Agronômico do Norte;1956;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1938;Caryocar brasiliense
NA;1989;Caryocar brasiliense
Universidade Federal de Uberlândia;2005;Caryocar brasiliense
Universidade Federal de Juiz de Fora;1969;Caryocar brasiliense
NA;1959;Caryocar brasiliense
NA;1956;Caryocar brasiliense
Universidade de Brasília;1982;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2008;Caryocar brasiliense
NA;1988;Caryocar brasiliense
NA;1959;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2015;Caryocar brasiliense
NA;1983;Caryocar brasiliense
Universidade Estadual Paulista;2015;Caryocar brasiliense
Universidade de São Paulo;1943;Caryocar brasiliense
NA;2019;Caryocar brasiliense
NA;2010;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2015;Caryocar brasiliense
NA;1969;Caryocar brasiliense
NA;2020;Caryocar brasiliense
Universidade Federal de Juiz de Fora;1971;Caryocar brasiliense
Museu Botânico Municipal;1997;Caryocar brasiliense
NA;2022;Caryocar brasiliense
NA;1998;Caryocar brasiliense
NA;1986;Caryocar brasiliense
Universidade Federal da Bahia;2007;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2013;Caryocar brasiliense
NA;2020;Caryocar brasiliense
NA;2007;Caryocar brasiliense
Universidade Estadual do Maranhão;2018;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1998;Caryocar brasiliense
NA;2014;Caryocar brasiliense
Instituto Agronômico de Campinas;1938;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1999;Caryocar brasiliense
NA;2019;Caryocar brasiliense
NA;1988;Caryocar brasiliense
NA;2019;Caryocar brasiliense
Museu Botânico Municipal;1964;Caryocar brasiliense
NA;2021;Caryocar brasiliense
Universidade Federal de São Carlos;2008;Caryocar brasiliense
NA;1998;Caryocar brasiliense
NA;1997;Caryocar brasiliense
NA;1959;Caryocar brasiliense
NA;1967;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1994;Caryocar brasiliense
Universidade Estadual Paulista;2009;Caryocar brasiliense
NA;2017;Caryocar brasiliense
Universidade Estadual de Campinas;2001;Caryocar brasiliense
Universidade Estadual de Feira de Santana;2010;Caryocar brasiliense
NA;1965;Caryocar brasiliense
NA;2012;Caryocar brasiliense
NA;1971;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2001;Caryocar brasiliense
NA;1982;Caryocar brasiliense
NA;2019;Caryocar brasiliense
NA;1974;Caryocar brasiliense
Instituto Agronômico do Norte;1938;Caryocar brasiliense
NA;1997;Caryocar brasiliense
Museu Botânico Municipal;1960;Caryocar brasiliense
Universidade Estadual de Campinas;1997;Caryocar brasiliense
NA;2014;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1988;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1959;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2001;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;1997;Caryocar brasiliense
NA;2018;Caryocar brasiliense
Embrapa Pantanal;1991;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2015;Caryocar brasiliense
Universidade Estadual Paulista;2009;Caryocar brasiliense
Universidade Federal do Paraná;1991;Caryocar brasiliense
Universidade Federal de Uberlândia;2002;Caryocar brasiliense
Universidade Estadual de Campinas;1997;Caryocar brasiliense
Universidade Estadual de Campinas;1998;Caryocar brasiliense
NA;1959;Caryocar brasiliense
Museu Botânico Municipal;1991;Caryocar brasiliense
NA;2020;Caryocar brasiliense
Museu Botânico Municipal;1988;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;2001;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1973;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1997;Caryocar brasiliense
NA;1965;Caryocar brasiliense
NA;1988;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1933;Caryocar brasiliense
Universidade Estadual Paulista;1968;Caryocar brasiliense
Universidade Federal de Minas Gerais;2016;Caryocar brasiliense
Instituto Agronômico de Campinas;1938;Caryocar brasiliense
Universidade Tecnológica Federal do Paraná;2001;Caryocar brasiliense
Museu Botânico Municipal;1990;Caryocar brasiliense
NA;1969;Caryocar brasiliense
Universidade Estadual de Campinas;1983;Caryocar brasiliense
NA;1994;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2010;Caryocar brasiliense
NA;1959;Caryocar brasiliense
Universidade Estadual do Maranhão;2018;Caryocar brasiliense
Universidade Tecnológica Federal do Paraná;2010;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1988;Caryocar brasiliense
NA;1967;Caryocar brasiliense
NA;2020;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1960;Caryocar brasiliense
NA;2020;Caryocar brasiliense
Universidade Federal da Bahia;2007;Caryocar brasiliense
NA;2020;Caryocar brasiliense
NA;1986;Caryocar brasiliense
NA;1974;Caryocar brasiliense
NA;2015;Caryocar brasiliense
Instituto Agronômico de Campinas;1938;Caryocar brasiliense
NA;1997;Caryocar brasiliense
NA;2010;Caryocar brasiliense
Universidade Estadual de Campinas;2001;Caryocar brasiliense
NA;2020;Caryocar brasiliense
NA;1938;Caryocar brasiliense
NA;1997;Caryocar brasiliense
Instituto Nacional de Pesquisas da Amazônia;1965;Caryocar brasiliense
NA;2021;Caryocar brasiliense
NA;1997;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2013;Caryocar brasiliense
NA;1963;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1979;Caryocar brasiliense
Universidade de Brasília;1981;Caryocar brasiliense
Universidade de Brasília;2000;Caryocar brasiliense
NA;2008;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2017;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1963;Caryocar brasiliense
Museu Botânico Municipal;1983;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1997;Caryocar brasiliense
Museu Botânico Municipal;1998;Caryocar brasiliense
NA;2000;Caryocar brasiliense
Instituto Agronômico de Campinas;1997;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;1990;Caryocar brasiliense
Universidade Federal Rural de Pernambuco;2006;Caryocar brasiliense
NA;2002;Caryocar brasiliense
Museu Botânico Municipal;2013;Caryocar brasiliense
NA;2022;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1950;Caryocar brasiliense
NA;1994;Caryocar brasiliense
NA;2008;Caryocar brasiliense
NA;2018;Caryocar brasiliense
NA;1981;Caryocar brasiliense
NA;2000;Caryocar brasiliense
NA;2018;Caryocar brasiliense
NA;1982;Caryocar brasiliense
NA;1990;Caryocar brasiliense
NA;1977;Caryocar brasiliense
NA;1979;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;2023;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1997;Caryocar brasiliense
Universidade Federal de Jataí;2008;Caryocar brasiliense
NA;2017;Caryocar brasiliense
NA;1982;Caryocar brasiliense
NA;2011;Caryocar brasiliense
NA;2019;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2006;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2013;Caryocar brasiliense
NA;1961;Caryocar brasiliense
NA;1983;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2018;Caryocar brasiliense
Universidade Estadual de Campinas;1977;Caryocar brasiliense
NA;2018;Caryocar brasiliense
NA;2020;Caryocar brasiliense
Universidade do Estado de Minas Gerais;2002;Caryocar brasiliense
NA;1993;Caryocar brasiliense
NA;2021;Caryocar brasiliense
Universidade Federal de Goiás;2000;Caryocar brasiliense
Universidade de Brasília;1983;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1989;Caryocar brasiliense
NA;2019;Caryocar brasiliense
NA;1982;Caryocar brasiliense
NA;1990;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1994;Caryocar brasiliense
NA;1983;Caryocar brasiliense
Universidade de Brasília;1983;Caryocar brasiliense
Universidade Federal de São Carlos;2022;Caryocar brasiliense
NA;2004;Caryocar brasiliense
NA;2013;Caryocar brasiliense
NA;1983;Caryocar brasiliense
NA;1981;Caryocar brasiliense
Museu Paraense Emílio Goeldi;2010;Caryocar brasiliense
NA;1983;Caryocar brasiliense
Universidade de Brasília;1981;Caryocar brasiliense
Universidade Federal de Minas Gerais;1988;Caryocar brasiliense
NA;2022;Caryocar brasiliense
NA;1995;Caryocar brasiliense
Universidade Federal de Uberlândia;2018;Caryocar brasiliense
Universidade Federal de Goiás;1988;Caryocar brasiliense
Universidade Federal do Vale do São Francisco;2011;Caryocar brasiliense
NA;2011;Caryocar brasiliense
NA;1997;Caryocar brasiliense
NA;1983;Caryocar brasiliense
NA;1997;Caryocar brasiliense
NA;2000;Caryocar brasiliense
NA;1983;Caryocar brasiliense
NA;1979;Caryocar brasiliense
NA;1983;Caryocar brasiliense
Universidade Federal de Uberlândia;2018;Caryocar brasiliense
NA;2022;Caryocar brasiliense
NA;1983;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1995;Caryocar brasiliense
NA;2000;Caryocar brasiliense
Universidade Federal de Uberlândia;2012;Caryocar brasiliense
Universidade de Brasília;1963;Caryocar brasiliense
Universidade Estadual do Tocantins;2008;Caryocar brasiliense
NA;2020;Caryocar brasiliense
NA;2013;Caryocar brasiliense
NA;1998;Caryocar brasiliense
NA;2018;Caryocar brasiliense
NA;1977;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2018;Caryocar brasiliense
NA;1970;Caryocar brasiliense
Universidade Federal da Bahia;2007;Caryocar brasiliense
NA;2021;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;2000;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2018;Caryocar brasiliense
NA;2008;Caryocar brasiliense
Universidade Estadual de Feira de Santana;2000;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;2011;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;1992;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;2019;Caryocar brasiliense
NA;2018;Caryocar brasiliense
Pontifícia Universidade Católica do Paraná;2013;Caryocar brasiliense
NA;2007;Caryocar brasiliense
Instituto Nacional de Pesquisas da Amazônia;1994;Caryocar brasiliense
Universidade Federal de Uberlândia;2002;Caryocar brasiliense
Universidade Federal de Uberlândia;2002;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2002;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2009;Caryocar brasiliense
Universidade Federal de Uberlândia;1997;Caryocar brasiliense
NA;1983;Caryocar brasiliense
Universidade Estadual de Feira de Santana;2007;Caryocar brasiliense
NA;1996;Caryocar brasiliense
NA;1979;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2018;Caryocar brasiliense
Universidade de Brasília;1970;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2002;Caryocar brasiliense
NA;2011;Caryocar brasiliense
Universidade Federal de Goiás;1968;Caryocar brasiliense
Instituto Nacional de Pesquisas da Amazônia;1983;Caryocar brasiliense
Universidade Estadual de Campinas;2002;Caryocar brasiliense
NA;2002;Caryocar brasiliense
NA;2021;Caryocar brasiliense
Universidade Federal do Maranhão;1998;Caryocar brasiliense
NA;2009;Caryocar brasiliense
NA;1995;Caryocar brasiliense
Universidade Federal de Uberlândia;1991;Caryocar brasiliense
Universidade de Brasília;1993;Caryocar brasiliense
Museu Botânico Municipal;2018;Caryocar brasiliense
NA;2021;Caryocar brasiliense
Universidade Estadual do Tocantins;2006;Caryocar brasiliense
NA;2010;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2001;Caryocar brasiliense
NA;1990;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1982;Caryocar brasiliense
Universidade Estadual de Campinas;1979;Caryocar brasiliense
NA;1990;Caryocar brasiliense
NA;2007;Caryocar brasiliense
NA;2008;Caryocar brasiliense
NA;1994;Caryocar brasiliense
Universidade Federal de Goiás;1995;Caryocar brasiliense
NA;1983;Caryocar brasiliense
Universidade Federal do Paraná;1996;Caryocar brasiliense
Instituto Agronômico do Norte;1963;Caryocar brasiliense
NA;2011;Caryocar brasiliense
NA;1996;Caryocar brasiliense
NA;2021;Caryocar brasiliense
NA;2000;Caryocar brasiliense
Universidade Federal do Paraná;1998;Caryocar brasiliense
Universidade Federal de Uberlândia;2004;Caryocar brasiliense
NA;1983;Caryocar brasiliense
NA;2020;Caryocar brasiliense
NA;2021;Caryocar brasiliense
NA;2021;Caryocar brasiliense
NA;2007;Caryocar brasiliense
NA;2019;Caryocar brasiliense
NA;1965;Caryocar brasiliense
NA;1982;Caryocar brasiliense
NA;2001;Caryocar brasiliense
NA;2002;Caryocar brasiliense
Museu Paraense Emílio Goeldi;1985;Caryocar brasiliense
NA;1995;Caryocar brasiliense
NA;1979;Caryocar brasiliense
NA;1995;Caryocar brasiliense
Universidade Estadual de Feira de Santana;2016;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2017;Caryocar brasiliense
NA;2017;Caryocar brasiliense
Universidade Federal de Goiás;1994;Caryocar brasiliense
NA;2019;Caryocar brasiliense
Universidade Estadual Paulista;1995;Caryocar brasiliense
Museu Botânico Municipal;1974;Caryocar brasiliense
NA;1997;Caryocar brasiliense
NA;2018;Caryocar brasiliense
Instituto Agronômico do Norte;1965;Caryocar brasiliense
NA;2021;Caryocar brasiliense
NA;2000;Caryocar brasiliense
NA;1995;Caryocar brasiliense
Universidade Tecnológica Federal do Paraná;2003;Caryocar brasiliense
Universidade Estadual Paulista;1995;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1977;Caryocar brasiliense
NA;1965;Caryocar brasiliense
NA;1972;Caryocar brasiliense
Instituto Nacional de Pesquisas da Amazônia;1965;Caryocar brasiliense
Universidade Federal de Goiás;1971;Caryocar brasiliense
NA;1910;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;2016;Caryocar brasiliense
Universidade Estadual Paulista;1986;Caryocar brasiliense
Universidade Estadual de Feira de Santana;1998;Caryocar brasiliense
Universidade Federal de Uberlândia;2002;Caryocar brasiliense
Universidade Estadual Paulista;1972;Caryocar brasiliense
NA;1978;Caryocar brasiliense
Museu Botânico Municipal;2018;Caryocar brasiliense
Universidade Estadual Paulista;2014;Caryocar brasiliense
NA;2012;Caryocar brasiliense
NA;1997;Caryocar brasiliense
Universidade Estadual Paulista;1995;Caryocar brasiliense
NA;1994;Caryocar brasiliense
Universidade de Brasília;1964;Caryocar brasiliense
NA;1987;Caryocar brasiliense
Pontifícia Universidade Católica do Paraná;1990;Caryocar brasiliense
Universidade Estadual Paulista;1998;Caryocar brasiliense
Universidade Estadual Paulista;1986;Caryocar brasiliense
Universidade Estadual de Campinas;1994;Caryocar brasiliense
NA;2016;Caryocar brasiliense
NA;2005;Caryocar brasiliense
Universidade de São Paulo;1994;Caryocar brasiliense
Universidade Estadual Paulista;2007;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2001;Caryocar brasiliense
Museu Botânico Municipal;1959;Caryocar brasiliense
Universidade Estadual de Campinas;1978;Caryocar brasiliense
NA;2016;Caryocar brasiliense
Embrapa Pantanal;2002;Caryocar brasiliense
Universidade de Brasília;1987;Caryocar brasiliense
NA;2004;Caryocar brasiliense
NA;2013;Caryocar brasiliense
NA;1970;Caryocar brasiliense
NA;1986;Caryocar brasiliense
NA;1988;Caryocar brasiliense
NA;2013;Caryocar brasiliense
NA;1998;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;2005;Caryocar brasiliense
Universidade Federal de Uberlândia;2008;Caryocar brasiliense
NA;2018;Caryocar brasiliense
Universidade Estadual de Campinas;1989;Caryocar brasiliense
Embrapa Recursos Genéticos e Biotecnologia;1991;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1981;Caryocar brasiliense
Universidade Estadual de Campinas;1990;Caryocar brasiliense
Universidade de São Paulo;1987;Caryocar brasiliense
Prefeitura de São Paulo;2001;Caryocar brasiliense
NA;2016;Caryocar brasiliense
Universidade Federal de Uberlândia;2014;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1980;Caryocar brasiliense
NA;2016;Caryocar brasiliense
NA;1979;Caryocar brasiliense
Universidade Estadual Paulista;1999;Caryocar brasiliense
NA;1990;Caryocar brasiliense
Instituto Brasileiro de Geografia e Estatística;1979;Caryocar brasiliense
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;1977;Caryocar brasiliense
Universidade Estadual Paulista;1986;Caryocar brasiliense
NA;2010;Caryocar brasiliense
NA;1986;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;1992;Caryocar brasiliense
Universidade de Brasília;1980;Caryocar brasiliense
Universidade Estadual de Campinas;1994;Caryocar brasiliense
NA;1993;Caryocar brasiliense
NA;1982;Caryocar brasiliense
NA;1977;Caryocar brasiliense
