Institution;year;sp
Universidade de Brasília;1974;Caryocar brasiliense
Universidade de São Paulo;1997;Caryocar brasiliense
NA;1984;Caryocar brasiliense
NA;1972;Caryocar brasiliense
Universidade Estadual Paulista;1986;Caryocar brasiliense
Universidade Federal do Paraná;1991;Caryocar brasiliense
Universidade Federal do Paraná;2010;Caryocar brasiliense
Universidade Estadual Paulista;1986;Caryocar brasiliense
Universidade Estadual do Oeste do Paraná;2010;Caryocar brasiliense
NA;1972;Caryocar brasiliense
Instituto de Pesquisas Ambientais;1918;Caryocar brasiliense
NA;1972;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2003;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2002;Caryocar brasiliense
Universidade Federal do Paraná;1991;Caryocar brasiliense
NA;2018;Caryocar brasiliense
Universidade Estadual Paulista;1985;Caryocar brasiliense
Escola Superior de Agricultura Luiz de Queiroz;2016;Caryocar brasiliense
NA;2020;Caryocar brasiliense
NA;1972;Caryocar brasiliense
NA;1929;Caryocar brasiliense
